XLMRoberta_corr_score,XLMRoberta_wrong_score,XLMRoberta_right
-1.9900358001068525,-4.844525679134272,True
-1.4651534107914712,-5.497559072462751,True
-2.5244474504725076,-6.398838819653195,True
-1.7985028075090668,-5.67909496387795,True
-1.6217488015290655,-5.59300210477204,True
-1.0962497172440635,-5.73084917248525,True
-2.644178584791007,-4.2914182548438475,True
-1.3255873568868992,-2.949741331180121,True
-3.443284591543488,-5.116196020277649,True
-1.5725597743085018,-4.932264648366981,True
-2.3262460337100492,-3.7015779021239723,True
-1.7163374562469471,-3.30864801728967,True
-2.1743445477968635,-2.8520839369994064,True
-0.7500899420294445,-1.1843834928678054,True
-0.8427135478091908,-2.2929097750915948,True
-0.8905906976124243,-1.2637534266648194,True
-0.8172189890337904,-2.096136371884495,True
-0.4598832377095652,-0.8891977831226541,True
-0.4908328325909679,-1.1815390202527245,True
-0.5410779765257353,-1.6600161522955579,True
-0.5885531923918547,-0.9728177131983102,True
-1.438900956354337,-2.8395766507767672,True
-0.7158136829984869,-1.3556782705476507,True
-0.5484802182246413,-1.0466738962568343,True
-1.0588809498448801,-1.8629044643603265,True
-0.9708844971692088,-1.8812945025759593,True
-0.8561460504024581,-1.9081589192772905,True
-0.7299978198017925,-1.6908819270985467,True
-0.7981378064587867,-1.720272274891613,True
-1.6776134653355257,-2.2327334923204036,True
-0.5930790911456022,-1.4415712729969528,True
-0.4908328325909679,-1.1815390202527245,True
-0.5885531923918547,-0.9728177131983102,True
-1.324206194600265,-1.8337984161994731,True
-2.5072192580109305,-3.527771584814348,True
-0.8893170254382615,-1.449249909338375,True
-0.3673806587672409,-0.8009776316466741,True
-0.7158136829984869,-1.3556782705476507,True
-1.1754547808077405,-1.8459343138849362,True
-1.05741723436707,-1.8696715809295283,True
-0.5584982269986843,-1.3616602996946312,True
-1.0654210906377557,-1.6719151820909852,True
-0.9149234791532055,-1.6321764165562962,True
-1.0048510262587418,-2.0683655219036154,True
-0.5885531923918547,-0.9728177131983102,True
-2.0582225996528423,-2.356289612776891,True
-0.8474596284358995,-2.136379759630654,True
-1.066838313558037,-1.9438887524340922,True
-0.6861751454759061,-1.5056576283823233,True
-1.4121991933789104,-2.0706835105083883,True
-1.47791554885589,-1.8784918153037629,True
-1.2893110494889484,-1.0519875824684277,False
-1.821257486714915,-2.8878248407317395,True
-0.6307831462104029,-1.447590962418222,True
-0.6380913067858072,-0.927180811543675,True
-1.430922491803843,-2.3842046251021594,True
-1.0569209100833783,-2.147996534826234,True
-0.9535104154919585,-1.9316811030231682,True
-0.8927435000476084,-1.318532714051091,True
-1.3990650890627876,-2.077500375981132,True
-1.2381802704767324,-1.800227863165284,True
-0.8905906976124243,-1.2637534266648194,True
-1.1580430152903622,-2.3471254771409025,True
-1.1757979068255129,-1.6369347197954387,True
-2.625285588080508,-3.0360279222050766,True
-1.5177514558106648,-2.369136457396962,True
-3.260644965699281,-2.586247485004027,False
-1.2620283891608577,-2.1611204481509048,True
-3.8182804367015706,-3.6837892986950465,False
-1.6728290097307763,-1.7894609123785896,True
-2.2556276109789906,-2.305946209204396,True
-1.6625369130895706,-1.715289072644373,True
-1.090252763614196,-2.466716343157962,True
-2.1128525215595304,-2.7569634836889403,True
-1.2858073557640806,-1.5932213703519664,True
-2.049439898629013,-3.5387040972709656,True
-1.5263971980137285,-1.5448133662446506,True
-0.9265999255270193,-1.207090523068631,True
-1.2720281947885168,-1.948066499213217,True
-1.9187219713892167,-4.164104661904275,True
-1.0153596386408026,-1.5096893896295045,True
-1.031331145199753,-1.7907399244209312,True
-1.1850411915012435,-2.3995460438322467,True
-1.3207409070600988,-1.352007751032943,True
-0.3899056998885829,-1.4044236459515311,True
-3.484793737368739,-2.9588531329822927,False
-1.3618007212343854,-1.7186140975900344,True
-1.7741371415071294,-2.6521577117970687,True
-1.0916298212989484,-1.4263301950546368,True
-1.2521501821219216,-2.389339605076384,True
-1.7882670206097828,-3.8397591969934926,True
-1.4422487458068645,-2.355448879344084,True
-2.819464636713383,-2.9988455287801283,True
-1.6954022403224371,-2.702703936688172,True
-2.250461718615649,-2.7229097714925254,True
-3.464055143238511,-4.123109231656417,True
-1.6381798800851763,-1.6396688347850958,True
-1.244960895304816,-0.9262808183865512,False
-1.2156716296207954,-1.0142574314842931,False
-0.907763797766529,-0.6946095391200894,False
-0.836788337454891,-1.114847664507882,True
-0.4907277939400956,-1.1978733488862277,True
-1.1219781764590326,-1.7606537467410974,True
-0.7086669459563887,-0.6511582993876396,False
-2.4737484789414643,-3.1196283581129345,True
-1.2241376134517945,-3.4274412668180756,True
-0.5357880387900877,-3.9043516023731275,True
-0.4296923728861657,-2.339777619261036,True
-0.6479289535070295,-2.792729522851784,True
-1.3445481258125878,-4.3767842744437075,True
-1.3904055362061347,-3.8231298558530398,True
-1.7826457301077123,-3.942103943627444,True
-0.7439564792156388,-2.472603632447216,True
-0.5719394468127147,-1.062122249030782,True
-0.5719394468127147,-0.600273679022554,True
-0.5719394468127147,-1.7135834310440046,True
-0.5719394468127147,-0.8398718404624721,True
-0.7980390494165477,-1.1799167994605868,True
-1.103594516504624,-1.1185583168456408,True
-1.5025671357421246,-1.6061791357219177,True
-2.4855057194617984,-2.164223778332063,False
-1.111822508442856,-1.6123662770842202,True
-0.5313807084390386,-1.0266852660638202,True
-0.6148246395471991,-0.6830780545036154,True
-0.5266504985484062,-2.074803637355217,True
-0.30960488114578766,-0.3034314120086492,False
-0.6403096080836034,-2.3278605838646538,True
-0.7827316205232189,-2.866126436641655,True
-1.9375439779347896,-1.9162732953943002,False
-1.7310787648356591,-1.68581725032821,False
-0.2211658940986336,-0.33673775661848665,True
-1.087588720905702,-1.0494216071943252,False
-0.41682609160488937,-0.41774112608254654,True
-0.3930272066791076,-0.3706714337583565,False
-1.633798012406866,-1.7562043561338214,True
-0.19459968865311777,-0.19514028557191174,True
-0.907916563526669,-1.0003010750090955,True
-1.2015062322289767,-1.1962390274486758,False
-1.587880714327464,-1.4517298165816241,False
-0.4760962586229046,-0.5756690277795617,True
-1.6539879318637152,-1.6086087581934407,False
-0.9991676733528342,-1.0461126813703838,True
-1.0290277614609902,-1.2696033079288707,True
-1.4509618555270467,-1.5364057860445297,True
-2.36318327275391,-2.807590435921716,True
-1.4224412562941913,-1.3616284442627256,False
-0.6341064849984832,-0.6839182590891142,True
-1.021144202045564,-1.1090502428955265,True
-0.8165622332266399,-1.146132466483063,True
-0.6821941217506089,-0.8331542611166907,True
-1.0676484586937087,-1.8497586321817445,True
-1.1947846923285397,-1.6070413094542648,True
-1.013329713240427,-1.298275180172193,True
-1.5998549250653014,-2.1921169765410013,True
-0.5243006745243773,-0.8860296759863987,True
-0.6178662978363718,-1.0985967446977156,True
-0.6992954617944633,-1.218468262030001,True
-1.4119291309616528,-1.6147704453906044,True
-1.186070255273463,-1.66326116103875,True
-0.5634857587905976,-1.1389326285490016,True
-1.211307336242559,-1.4317433123166363,True
-0.48828193216639404,-1.048705173382426,True
-1.335773087135749,-1.5154385505011305,True
-2.8550728605687254,-0.7357580152588938,False
-1.2421560042882145,-2.280498803098453,True
-0.550878901957185,-1.7296460052153138,True
-0.9196948809952697,-1.16469399144328,True
-2.667820579467595,-2.608808456526066,False
-0.766919844589376,-0.15459548432800846,False
-2.7248680729438397,-1.7963821147423005,False
-1.530276737904933,-2.314810014932076,True
-0.3858556860141107,-1.6240662386844633,True
-2.145667492595385,-2.072982359390992,False
-2.3416157756000757,-1.1165406887109082,False
-1.8549398788787326,-2.4623562611988747,True
-1.2707716100840116,-0.8701542040027561,False
-3.592694788099234,-3.2680027064699164,False
-1.371920698609756,-2.8465120835850635,True
-0.764535043322313,-1.4066889048937645,True
-5.870551257368384,-1.7229074988506248,False
-1.4511876994305675,-1.6046849449493867,True
-1.4697998461779207,-1.6376806791457865,True
-1.7592134524136782,-1.8480505881714635,True
-1.273140488370486,-1.4745510930763832,True
-1.2263720018397037,-1.3609512242684632,True
-0.9665905347344681,-0.9020116278418124,False
-2.7262505229570837,-2.8940001398836364,True
-0.9151866004879897,-0.9216368053884556,True
-1.5021583113866654,-1.4062475229179414,False
-0.24781480719975663,-0.26069406130700373,True
-0.42545713542058367,-0.4259350385846725,True
-0.7862163725573433,-0.7683088671134707,False
-1.276562973044929,-1.2518555353715783,False
-1.7665860491215426,-2.0331134192201716,True
-1.4502287182695,-1.6045968462476594,True
-0.8189748521095184,-1.9527583084782236,True
-1.7717669133853633,-1.4741237919515697,False
-1.631327631213935,-1.6440306393633364,True
-1.5588567629182601,-1.5919232292593841,True
-1.658675371283607,-1.9688981892031734,True
-1.4784611418998632,-1.446513631139383,False
-1.2468307068886455,-1.4785923396908294,True
-1.422756074599045,-1.6030327227541847,True
-1.4193296286770527,-1.5177697167656494,True
-1.3866167640662752,-1.4337656598872854,True
-0.2995324335809398,-0.3435787457399004,True
-0.6624739125881416,-0.6386091113717367,False
-0.8405942778223946,-0.9439848211925261,True
-1.1223023271055095,-1.3037041193518755,True
-0.2712002819337483,-0.39863171121188706,True
-0.9959392007576147,-1.038760307659201,True
-0.9434910040593726,-0.9997184099678028,True
-0.536820171879039,-0.6037805279234557,True
